"","x"
"1","max_slope_raw"
"2","max_slope_smth"
"3","RMP_beforeAP"
"4","Shoulder"
"5","AP_max"
"6","Apamp"
"7","X10Hz"
"8","X20Hz"
"9","X2Hz"
"10","X4Hz"
"11","Delta.Rmem"
"12","Loc_APHW"
"13","slope_oversh"
"14","slope_oversh_0.5"
"15","AP_threshhold"
"16","subthresh_slope"
"17","n_cells"
"18","AHP_new"
"19","AHP_Tau"
"20","RMP"
"21","AP_HS_2TH"
"22","X50Hz"
"23","X100Hz"
"24","input_res"
"25","Input_res_new"
"26","diameter"
"27","cslow"
"28","TTP"
"29","Sinusscore_old"
"30","Delta.ind.time"
"31","days.in.dish"
"32","HS_Quotient"
"33","APD"
"34","X2nd_Infliction"
"35","Min_AHP"
"36","subthresh_slope_0.5"
"37","Delta.I.Initial"
"38","pA_start"
"39","Sinusscore_new"
"40","pA_threshold"
"41","Rheobase"
"42","HS_Threshold"
