labels.p,days.in.dish,diameter,cslow,RMP,pA_start,pA_threshold,Rheobase,input_res,Input_res_new,AP_threshhold,AP_max,Apamp,Min_AHP,Loc_APHW,APD,max_slope_raw,max_slope_smth,slope_oversh,slope_oversh_0.5,subthresh_slope,subthresh_slope_0.5,TTP,Shoulder,AHP_new,AHP_Tau,RMP_beforeAP,X2nd_Infliction,Spontan_active,X2Hz,X4Hz,X10Hz,X20Hz,X50Hz,X100Hz,HS_Threshold,AP_HS_2TH,Sinusscore_old,Sinusscore_new,HS_Quotient,Delta.I.Initial,Delta.ind.time,Delta.Rmem,n_cells,prop.spontaneous,CACNA1I,KCNJ4,KCNH3,SCN8A,KCNC2,KCNJ8,KCNA1,HCN4,KCNK10,KCNK13,KCNJ14,KCNA7,KCNC3,MCOLN2,KCNQ4,KCNQ5,TRPM7,CATSPER2,TRPM1,KCNV2,TRPM3,TRPM6,KCNG2,KCNQ3,KCNV1,CNGB3,TRPA1,KCNJ9,HCN3,KCNN3,KCNA3,KCNA10,KCNC4,KCNK15,KCNS1,KCNB1,KCNG1,KCNG3,TRPC3,PKD2,TRPC4,HVCN1,TPCN1,TRPV4,RYR2,KCNK1,KCNMA1,PKD2L1,KCNH8,SCN5A,SCN10A,CACNA1D,TRPC1,KCNJ6,KCNJ15,CACNA1F,TRPC5,CNGA2,KCNK7,KCNK4,KCNA4,KCNC1,MCOLN1,KCNN1,KCNN2,CNGA4,KCNJ1,CACNA1E,KCNH7,SCN2A,SCN3A,SCN9A,TRPM8,KCNH2,KCND2,SCN4A,KCNH6,KCNH4,CACNA1G,TRPV3,TRPV1,TRPV2,TRPM4,KCNK2,MCOLN3,TRPM2,TRPC6,SCN1A,CACNA1S,KCNJ13,KCNK5,PKD2L2,CATSPER4,HCN1,KCND3,CNGA3,KCND1,KCNU1,SCN11A,KCNQ2,KCNJ10,KCNS3,KCNS2,KCNK9,HCN2,KCNF1,RYR3,CACNA1H,KCNJ16,KCNH5,KCNJ3,KCNK16,KCNA2,CNGA1,KCNK6,KCNQ1,KCNJ2,KCNJ11
Abeta-HTMR,1.5,46.034,115.065,-45.650000000000006,-225,80,230,0.07375,0.1475,-40.35485,46.1131,108.0705,-68.84885,3.6693300000000004,3.4205250000000005,149.90300000000002,83.05600000000001,9.261425,17.4297,1.569245,6.546135,29,0.8621745000000001,24.7753,13.5803,-61.3738,1,0,20,16.5,16.5,14,6.5,3.5,450,3,-2,0.4093406595,1,0.934037,0.1,-0.6054,4,0.25,0,0,0.5,16.75,4.262147290604068,0,16.5,0.75,0.75,0,2.5,0,0,0,0,2.75,13,3,0,0,4.757644036708575,0.5,0,2.75,70.75,0,10,3.960430590547473,0,7.86321152511424,2.017844276284615,0.75,3.25,0,7.5,13.75,3.4829221519372027,2,1.0002089076670875,12.417973642406881,0.6138033925892575,0,8.94852297884335,0.25,33.75,18.650789776643126,15.25,0.5,10.25,0,62,1,8,6.75,1.0317047412383724,1.529834462732615,15.38629572167315,0,0.75,0,17.25,2,18.115775726699624,0.25,11,0.5,0,2.37671836782373,2,36.17846950673868,0,140.93797285605524,43.5,0.25,0,0.5,0.25,0,0.25,0.7694695323939724,21,8,2.75,7.25,0,0.75,0.2500170356222825,5.13355763720605,0,1.0712425142857476,0,2.75,0,28.25,33.25513715113093,0,21.5,0.25,55.5,3.25,0.2501078101701325,6.970076013183068,0,0,0,0,4.25,0.25,2.66850272201418,0.75,6.5,0,4.25,0,0,0,1.25,5.7376703876520505
Abeta-LTMR1a,2,35.36450000000001,61.45,-55.85,-15,45,110,0.17,0.1875,-44.032,50.15015,112.55199999999999,-76.68825000000001,3.52068,2.776845,136.446,82.699,8.836465,16.516750000000002,1.070228,5.242895000000001,29.55,0.8414444999999999,28.1764,16.8347,-61.299949999999995,1,0,20,20,20,20,13.5,6.5,200,3,-6.5,0.245,1.519230769,0.983797,0.1,-1.1343,28,0.25,0,0.14285714285714285,0.75,20.714285714285715,23.352566864022386,1.8859110996494535,2.892857142857143,0,0.39285714285714285,0.07142857142857142,0.5,0,0.35714285714285715,2.027816343668138,0,13.571428571428571,4.25,4.66869432173219,0.25,0,7.519188803310176,0.21428571428571427,1.0357142857142858,0.35714285714285715,30.536713241228618,0,54.357142857142854,3.3951619713064667,0,12.330022435837586,2.2245328385377636,0.07142857142857142,9.607142857142858,1.2245478774536376,2.892857142857143,4.392857142857143,0.9585339696986193,2.142857142857143,1.3722144085546357,27.422195698629167,5.6585498934879865,0.17194630411011,9.90660603867544,0.6428571428571429,17.428571428571427,25.654911573506443,16.465146223665382,0.07142857142857142,0.07142857142857142,0,9.428571428571429,1.1071428571428572,24.785714285714285,20.142857142857142,1.2683373037997288,4.427454900980955,11.445169891163241,0,0,0,0.7857142857142857,0.7857142857142857,5.772226229509082,0,0.42857142857142855,1.1428571428571428,0,1.058690086937918,3,5.055118061712609,0.1445825832712557,84.5593558515076,206,0.7857142857142857,0,0,4.464285714285714,0,0.03571428571428571,2.5571388188299946,21.357142857142858,16.428571428571427,8.035714285714286,78.18094841226669,0,5.142857142857143,0,1.7766577892227926,0,1.9327648455250854,0,0,0,41.607142857142854,8.323575829387247,0.03571428571428571,4.142857142857143,1.0714285714285714,56.285714285714285,0.35714285714285715,1.3214355613956514,4.789259510968631,5.223568796302021,0,1.1717873994739714,0.03571428571428571,6.5,0.14285714285714285,4.747518458133062,0.25,2.392857142857143,0.8587397921693761,0,0,0.6058243755506871,0,3.107142857142857,3.2246102149138096
Abeta-LTMR2,1,31.785,61.62,-51.9,-20,35,60,0.25,0.25,-40.4644,43.3748,104.169,-71.0395,4.78813,3.621,143.957,84.1265,8.07883,15.253,0.835259,6.42037,26.25,-0.029728500000000005,31.9159,29.0745,-60.7946,1,0,20,20,20,20,19,10,150,3,-6,0.3,2,0.975728,-0.05,0.2992,5,0.4,0,0,0,7.4,1.44205309900829,0,8,0,0.8,0,1.8,0,0.6,1.587546439708698,0,1,6.6,20.2,0,0,11.177075704729624,0,0,0.2,2.801050015532078,0,11.2,5.91418403420994,0,4.843315053645792,0.995877383937772,0.2,10.2,0,35.2,11.6,0.6500763775812559,0.6,1.20101125878468,10.481023623648502,1.00007991896902,0,11.3800048672103,1.6,31.8,31.388646813637184,20.84906124007608,0,1,0,9.2,0.4,14,3.6,0.8016616274819679,1.853349130347944,0.25131452304727203,0,0,0,1.8,1,29,0,0,0,0,2.126884626514042,3.6,13.080095142979296,0.821304268612874,27.040209077452,5.8,0.2,2.4,0,0,0,0,1.8399027171388362,18.2,1.8,0.6,3.60000000006834,0.4,0.2,0,38.05839151095592,0.2,2.494975987491836,0,1,0.1291694553143202,20.8,0.856995407162028,0,34.2,0,1.2,0.2,0,6.786475319783346,0.4,0,0.6,0,1.4,0,1.134842455160818,0,1.6,0,0.4,0,1.383759202398504,0,12.837071923388692,8.400719105055046
Adelta-HTMR,1,29.977,25.975,-49.8,-55,-15,42.5,0.395,0.395,-44.172799999999995,49.414699999999996,109.1785,-75.8746,2.25324,2.823555,143.4875,85.30765,6.448755,12.28445,0.906207,5.089735,36.075,2.3365595000000003,31.539749999999998,26.87645,-58.8984,1,0.5,20,20,20,20,20,10,65,3,-6.5,0.2063829785,1.2916666664999998,0.96,0.1,0.6671,6,0.5,0,0,0,10.166666666666666,37.01658945424005,14.666666666666666,0.5,0,6.5,0,0,0,0.16666666666666666,0.391702459761115,0,38.666666666666664,39.833333333333336,6.666666666666667,0,0,11.36528548584636,1,0,2.5,8.5,1.1666666666666667,32.166666666666664,3.9551391783733965,1.3333333333333333,49.902514511425686,2.5071171130301164,1,2.5,0,2.5,9.166666666666666,0.8107028294988233,1,16.5,16.03324428508591,45.607644406959466,0,4.5,0,37.5,18.127184874946998,35.50519699938822,0,0.6666666666666666,0,22.5,7.333333333333333,70.16666666666667,32.666666666666664,1.1680728212453082,6.882801205656128,5.999789323932743,0,0.8333333333333334,0,0,1.3333333333333333,15.736517704275466,0.16666666666666666,23.5,0.6666666666666666,0,4.4468747420140335,10.833333333333334,32.33252315556861,0,100.37563089474554,45,0,0,0,0.3333333333333333,0,0,2.1198928000618715,69,5,2.1666666666666665,87.56880486716648,0,4.833333333333333,0,7.625179283019117,0,6.491104641282767,0,1.5,0,26.833333333333332,1.5033879803109034,0,3.5,0,92.33333333333333,2,0,4.8436059732601215,5.548216700003296,0,4.833333333333333,0,4.666666666666667,0.16666666666666666,1.0708845311385817,0,26,0.16666666666666666,0,1,0.3355914829124633,0,2.8333333333333335,5.476737996557634
Adelta-LTMR,2,41.891000000000005,107.965,-63.949999999999996,75,120,75,0.185,0.125,-53.6395,36.4899,97.82275,-73.8717,-8.230565,2.359635,150.059,81.07339999999999,4.85025,9.539100000000001,0.4812925,6.5272950000000005,40.5,-0.9075500000000001,30.71725,22.8733,-60.93555,1,0,17,10.5,10.5,11,6.5,4,220,1.5,-0.5,0.2492537315,2.2,1.011479,0.6000000000000001,-3.0957999999999997,4,0.25,0,0,0,30.5,43,0,43,0.75,7.5,0,8.25,0,0,28.117892133507688,0,10.5,59.25,0.5,2.25,0,4.25,0,0.83706542460535,4.5,226.04243634279376,0,19.25,14.230745119050127,0,9.02293471930588,2.193092405141185,0,9.25,0.5,6.5,13.75,0.5,14.25,0,7.337018959499242,24.55366919794765,0,12.25,0,13.25,176.5058600760788,10.991352798844074,0,7.75,0,5.5,2,1.75,7.75,0.25001539238683,3.5263911723677026,17.178166202645098,0.25,0,0.25,7.25,20.5,12.547582988796025,1,27.75,0.25,0,0.5353149541548325,52.5,117.87163938707775,0,251.1981313018889,436.5,3,0,0,1.75,0,0,1.4226165156177601,15,6.5,0.75,98.25,0,1.75,15.50752996964925,143.1802293110334,0,2.0665374742677924,0,4.5,0,95.25,4.938961601296382,0,22.25,0,121.5,8.75,0,4.5,6.75,0,2,0,0,6.75,1.01177574938484,6.25,1.25,0,2.5,0,0.866183089822185,0,3.75,0.81207677496756
COOL,1,40.342,56.05,-55.7,-75,-52.5,30,0.175,0.155,-57.0507,35.69185,99.44739999999999,-71.77495,-10.593350000000001,1.7933,208.1115,94.86555,3.1899100000000002,6.208455,0.18909350000000003,7.762215,51.025,-1.76816,19.546950000000002,17.3604,-62.13775,0.5,1,20,20,20,20,20,10,42.5,3.5,-5,0.16999999999999998,1.4666666665,1.05456,0.175,-2.55095,12,0.6666666666666666,0.08333333333333333,0,0,25.75,46.38363336893218,0,3.9166666666666665,5.916666666666667,0.5,0,0,0,0.6666666666666666,0.79317365115909,0.16666666666666666,15.333333333333334,21.083333333333332,5.416666666666667,0.9166666666666666,0,12.67324344623435,0.25,0.050576092692339696,1.4166666666666667,5.833333333333333,0,13.583333333333334,5.966212884273206,0.8333333333333334,3.6753772277941215,1.457328832849374,0.25,9.25,0,0.25,18.166666666666668,0.6666666666666666,10.25,0.7618521185452725,24.07738592555358,1.3576254277821418,0.60737254159424,7.679818809429767,1.5,34.166666666666664,5.262276795177849,15.856089319565584,0.4166666666666667,8.25,0.16666666666666666,6.75,2.75,5.416666666666667,10.166666666666666,0.61340705823838,3.614292549441411,1.3501692614811482,0,0,0,0.16666666666666666,2.6666666666666665,30.8260794117455,0.16666666666666666,23.25,0.08333333333333333,0,1.5441888997829643,55.916666666666664,67.95385483790453,0,147.41932268408607,1646.1666666666667,0.4166666666666667,0,0,17,0,3.3333333333333335,0.4213342016964575,2.0833333333333335,11.25,0.6666666666666666,160.74985646712778,0,0.16666666666666666,0,114.21015581134263,0,1.0372589177345732,0.08333333333333333,1.0833333333333333,0,38.75,2.6051374150406925,0,4,2.0833333333333335,5.083333333333333,3.4166666666666665,0.083566076334765,15.37314122201405,7.666666666666667,0.16666666666666666,1.0401696775839182,0,0.5,3.3333333333333335,1.4916169231168608,13.75,7.583333333333333,0.16666666666666666,7.083333333333333,0.08333333333333333,1.11189405165982,0,5.583333333333333,1.7455878433639076
C-COLD,1,37.744,64.62,-53.2,-70,60,120,0.17,0.17,-41.4032,47.1928,104.734,-68.5985,3.91187,3.68223,100.457,68.0018,8.48645,16.0034,1.17205,6.91147,23.15,-9.14516,26.8927,17.0824,-55.9945,1,0,20,20,20,15,5,1,195,5,-3,0.333333333,2.5833333334999997,1.01422,0.2,-7.3586,5,0.2,0,0,0,1.2,6.8593086214132235,2,2.2,0.4,0,0,10.8,0,0,3.422779542847136,0,47,25,4.4,0,0,38.2,0.6,0,0.4,31.40192755448226,0.2,4.6,7.95502657395632,0,13.40114160020712,14.932948314613737,1.034003296739006,5,0,0,8.2,3.229325051649414,0.4,18.5350512715317,27.782658674951975,8.872114561808694,0,3,0,77,22.742514316236793,19.40636494894398,0,2.4,1.054328106164172,106.34567189383581,1,22.2,12.2,2.204123579785494,2.881098119612172,64.35638197350995,0,0,0,2.4,0,7.5633671485899,0,13,0,0,0.20081409571887598,9.2,26.47446585861836,0,149.7593561958473,219.2,0,0,0,0,0,0,6.676011562408764,3.6,1.4,0,11,0,0,1.60359676206255,9.166177945534233,0,2.232435586677236,0,2.4,0,38.6,16.22009426278366,0,8.2,0.2,123.2,1.6,0.20017973863828803,1.408682151062036,0.410050295243654,0,0,0,1.2,0.2,1.50272381477973,3,9.2,0,3.6,0,2.01256373406264,0,9.2,1.8122200863443338
C-LTMR,3,29.313,36.93,-65.8,0,310,240,0.17,0.17,-33.0788,42.3733,101.904,-62.8089,5.03849,2.85615,63.5287,52.1871,13.4928,24.5042,4.60102,16.8726,10.35,-5.11516,11.3825,14.32969,-61.4399,1,0,20,20,20,20,17,7,350,3,-8,0.64,2.1527777775,1.0283,0.1,-0.2048,3,0,0,0,0.3333333333333333,1.6666666666666667,0,1.3333333333333333,7.666666666666667,0,7.333333333333333,0,8,0,0,2.39929469328372,0,0.3333333333333333,9,79.33333333333333,0,0,0,0.3333333333333333,2.3333333333333335,0,1.3333333333333333,0,0.3333333333333333,1.4727982546875233,0,4.666666666666667,3.346641436569293,0.3333333333333333,29.666666666666668,0,1.3333333333333333,0.3333333333333333,45.309005907273,0,4,41.784223241159,0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0,89.8371092701707,4.333333333333333,1.6666666666666667,6.666666666666667,0,43,1,2.3333333333333335,3.3333333333333335,0.7735757985369333,2.953597765008363,4.549271518997233,0,0,0,0,3,12,0.3333333333333333,2.3333333333333335,0,0,1.7000613515587668,87,61.84757287776253,0.3389722676180967,282.108338018353,2.6666666666666665,5,0,0,32.333333333333336,0,0,3.2647731118349768,0,22.666666666666668,2.3333333333333335,22.333333333333332,0,0.3333333333333333,0,14.371783502933033,0,0.3337858352820667,0,0,0,61.666666666666664,201.3656380577491,0,2.3333333333333335,0,199.33333333333334,7,1.6667168856771266,0.6632775719438834,0,0,2,0,0,4.333333333333333,0.4207498502308867,0,0,0,4,0,1,0,0,7.788746303456273
C-PEP1,1,35.013,59.84,-59.95,0,120,120,0.185,0.185,-41.51275,51.902649999999994,111.167,-73.3866,4.99937,2.78829,159.917,88.865,12.0646,22.95405,1.3820700000000001,7.34876,21.475,2.52159,21.5893,18.1602,-60.102199999999996,1,0,20,20,20,20,11,6,175,3,-7,0.381818182,1.25,0.9858505,0.025,-1.2298499999999999,38,0.23684210526315788,0,0,0.05263157894736842,3.5526315789473686,30.6464774120424,0.02631578947368421,8.578947368421053,0.18421052631578946,2.973684210526316,0.05263157894736842,0.7368421052631579,0,0.05263157894736842,0.8473348477009066,0,61.39473684210526,19.05263157894737,9.332086570341373,0.10526315789473684,0.15789473684210525,17.687385002242763,0.5789473684210527,0.05110521275834066,0.7105263157894737,26.85416460363378,0.05263157894736842,57,3.2254024456429713,1.2651453109113224,24.018634193816837,1.5449903022457887,0.3157894736842105,6.578947368421052,0.18421052631578946,0.34210526315789475,12.263157894736842,0.8605707659364035,1.5,2.321964090638223,10.242716456280528,17.05853928546861,0.48701523594682894,3.6312909942418847,0.10526315789473684,49.21052631578947,15.683404419649076,24.560851716256217,0.21052631578947367,1.0789473684210527,0.07894736842105263,63.78947368421053,1.6842105263157894,34.610724473635884,27.763157894736842,1.0249135681273909,3.443893208697606,35.86165074285372,0.10526315789473684,0,0.10526315789473684,1.5526315789473684,0.5789473684210527,20.55772763427719,0,0.23684210526315788,2.4485348024216878,0,2.185468677179004,3.473684210526316,13.7985733167745,0.19631616304137472,166.17803496525335,17.68421052631579,0.6578947368421053,0.07894736842105263,0,0.6578947368421053,0.02631578947368421,0,1.0603568074259924,60,13.421052631578947,2.8421052631578947,7.694554995683451,0.02631578947368421,1.4736842105263157,3.5547261172222036,1.9060229233518569,0.2894736842105263,1.2604044505923757,0.02631578947368421,1.7105263157894737,0.01736178957569955,63.6578947368421,25.476774135022886,0.02631578947368421,6.868421052631579,0.18421052631578946,133.28947368421052,0.7894736842105263,0.10623296380768421,15.059967621054343,5.217862692026666,0.21052631578947367,0.3893781833616299,0.07894736842105263,3.789473684210526,0.15789473684210525,1.175428752846906,1.2894736842105263,15.342105263157896,0,0.7105263157894737,0.05263157894736842,0.5340125495083329,0.05263157894736842,9.351543166451588,9.84972784213996
C-PEP2,2,33.979,49.3,-57.3,-20,60,100,0.205,0.245,-42.4359,52.0122,112.989,-74.0751,3.91187,2.74298,155.223,87.7849,8.91832,16.8757,1.37412,7.53542,23.05,0.2394055,22.0673,20.1201,-60.491,1,0,20,20,20,20,16,6,175,3,-11,0.333333333,1.8,0.9900065,0.025,-0.6495,25,0.32,0.04,0,0.08,3,10.68283133982127,1.7901512815973681,0.56,0.08,1.48,0.04,0.16,0,0.08,2.9984294300391365,0.12,6.16,16.32,7.76,0,0.24,30.68747173235376,1.48,0.2865128378958748,0.28,0.8239813618487064,0.08,26.28,5.409263968810308,0.3000112524689436,10.08638009675442,5.39239572202126,0.12,8.84,0,0.4,5.04,1.6551060897420873,1.48,1.9499291508296313,18.260705210571363,6.130488387618637,0.8852992259486392,5.111191148123626,0.08,23.8,8.668350547890997,5.699408719821381,0.24,0.68,0.12097235669696879,19.27902764330303,1.36,12.330132387062314,7.56,2.9028609112483035,2.5434048414302075,2.3561770844375705,0,1.36,0,0.6,0.24,9.22572784006842,0.12,0.88,0.2,0,1.5742760638911535,2.68,13.42240370525955,0.24,87.03445027353084,30.48,0.48,0.16,0,0.84,0,0.04,2.031526515798297,27.96,5.48,0.76,22.813846737630985,0.2,0.8,8.563198274621795,6.063146021209578,0.04,1.817064868497892,0.12,0.8,0.580090329726616,19.64,17.29401484359923,0,2.44,2.04,73.28,0.2,0.6084321108568815,13.5606462025645,5.48639653731139,0,1.04,0.6,1.84,0.04,1.0399014998350005,0.8,29.68,0.1221808672729604,3.04,0,0.2826513928789968,0.04,9.48,5.931325498254522
