gene,days.in.dish,diameter,cslow,RMP,pA_start,pA_threshold,Rheobase,input_res,Input_res_new,AP_threshhold,AP_max,Apamp,Min_AHP,Loc_APHW,APD,max_slope_raw,max_slope_smth,slope_oversh,slope_oversh_0.5,subthresh_slope,subthresh_slope_0.5,TTP,Shoulder,AHP_new,AHP_Tau,RMP_beforeAP,X2nd_Infliction,X2Hz,X4Hz,X10Hz,X20Hz,X50Hz,X100Hz,HS_Threshold,AP_HS_2TH,Sinusscore_old,Sinusscore_new,HS_Quotient,Delta.I.Initial,Delta.ind.time,Delta.Rmem,n_cells,prop.spontaneous
CACNA1D,-0.528466128,0.249450555,-0.03752796,-0.161149473,0.233079998,-0.042035501,-0.188470067,0.133185432,-0.077348491,-0.399562393,0.315676366,0.306846258,-0.258280663,-0.203316034,-0.333336582,0.545259177,0.660050583,-0.134659149,-0.134659149,-0.306846258,-0.245035501,0.32009142,0.386317231,0.143489257,0.496693583,0.245035501,-0.241872845,-0.103659791,0.083309823,-0.181229883,-0.088483585,-0.017777822,-0.038032843,-0.131699381,-0.342676623,0.152487026,-0.427937916,-0.280664525,-0.072848392,0.245817575,0.139074203,0.566038084,0.318488683
CACNA1E,-0.266739767,0.076923077,0.002197802,0.120879121,-0.130670739,0.008810594,0.174394636,0.095029075,0.143014388,0.468131868,0.384615385,0.397802198,0.142857143,0.466446927,-0.094505495,0.213186813,0.415384615,0.441758242,0.441758242,0.397802198,0.063736264,-0.292307692,0.534065934,0.054945055,0.107692308,-0.024175824,0.034401046,0.309609412,0.032455885,0.119268286,0.29181067,0.097347277,0.100231667,0.017778875,-0.432929192,-0.12981306,0.240620447,-0.574257773,-0.134065934,-0.491694206,0.6,0.075139268,0.144129837
CACNA1F,-0.220243844,0.138461538,-0.120879121,-0.156043956,0.166717839,-0.187225124,-0.192054852,0.026519742,-0.079207969,-0.353846154,0.142857143,0.164835165,-0.226373626,-0.189219036,-0.516483516,0.125274725,0.287912088,-0.164835165,-0.164835165,-0.331868132,-0.120879121,0.274725275,0.182417582,0.178021978,0.195604396,0.081318681,-0.309609412,-0.172005229,0.169491845,0.094802996,0.151411197,0.050886077,0.077957963,-0.180011112,-0.338814151,0.118811953,-0.518768853,-0.286028776,0.331868132,0.284782164,-0.050549451,0.353596557,0.184042715
CACNA1G,0.219515419,0.150903404,0.021905333,0.233656884,-0.395456177,-0.271981154,-0.224911987,0.007342231,0.056041913,-0.163073033,-0.094923109,0.026773185,-0.262863994,-0.27168145,-0.389428139,0.197147995,0.238524735,-0.192280144,-0.192280144,0.097357035,0.382126362,0.158205182,-0.077885628,-0.433238805,-0.460011989,-0.352919251,-0.495260557,0.228581795,-0.001996824,0.162562493,0.254566072,0.268289696,0.172666952,-0.071372521,0.203241501,-0.305793919,0.019557564,-0.020711142,0.051112443,-0.156457103,-0.313976437,-0.085659361,-0.007366828
CACNA1H,0.130273046,0.395147339,0.187639798,-0.183224744,0.056572815,0.307522877,0.281596452,-0.612652986,-0.771274956,-0.214130122,-0.518768853,-0.532014015,0.536429069,-0.388952413,-0.064018284,-0.015452689,-0.218545176,-0.205300014,-0.205300014,-0.271525825,0.015452689,0.337751636,-0.267110771,-0.068433338,-0.161149473,-0.306846258,-0.310979372,-0.449192426,-0.470881609,-0.562119806,-0.569613076,-0.32000079,-0.304262742,0.323667971,-0.205605974,0.68287668,-0.068736142,-0.304974051,0.324506474,0.838014459,-0.192054852,-0.239733777,0.033407904
CACNA1I,-0.255949594,0.052305686,-0.148658266,-0.077082064,-0.029631003,-0.197268591,-0.268215866,0.035986375,-0.041339416,-0.349622218,0.107364303,0.148658266,-0.115623096,-0.221854864,-0.256022569,0.635927026,0.61390358,-0.156917058,-0.156917058,-0.245010846,0.167928782,0.178940505,0.055058617,-0.311081186,0.214728606,-0.137646543,-0.47399202,0.172360735,0.252956402,0.026814216,0.063793103,0.189831554,0.122758568,-0.270018008,0.195987058,-0.035827494,-0.306927434,-0.020669708,0.044046894,0.051556241,0.044046894,0.473359235,0.408286081
CACNA1S,-0.524397947,0.004867852,0.148469478,-0.279901475,0.37674374,0.178068379,0.092898429,0.265544021,0.199801604,0.343183548,0.586576135,0.494086952,-0.058414221,0.598186511,0.048678517,0.474615545,0.579274357,0.40646562,0.40646562,0.199581921,0.017037481,-0.460011989,0.379692436,0.053546369,0.469747693,0.30667466,0.228581795,0.228581795,0.335466362,0.165949212,0.227127813,-0.105355771,-0.039466732,-0.111981024,-0.261868858,-0.253406913,0.210243814,-0.012183025,-0.18254444,-0.682497915,0.257996142,0.569022901,-0.022100484
CATSPER2,-0.210455229,-0.230769231,-0.217582418,-0.217582418,0.11940602,0.07489005,0.236205393,0.037569634,0.118811953,0.538461538,0.340659341,0.301098901,0.353846154,0.664466849,0.006593407,0.010989011,0.243956044,0.494505495,0.494505495,0.292307692,0.274725275,-0.56043956,0.098901099,-0.085714286,0.2,0.046153846,0.034401046,0.378411504,0.508475535,0.412851759,0.440468936,0.099559715,0.147006445,-0.115562689,-0.279992249,-0.184818594,0.205300014,-0.246424792,0.274725275,-0.482794763,0.476923077,0.201108042,0.011086911
CATSPER4,-0.176252714,-0.06331741,0.055058617,-0.099105511,0.056440006,-0.068975032,-0.002765112,0.305884184,0.300399754,0.410186697,0.523056862,0.462492383,0,0.560838073,-0.19545809,0.327598771,0.399174973,0.335857564,0.335857564,0.275293085,0.261528431,-0.517551,0.264281362,0.027529309,0.341363425,0.156917058,0.172360735,0.172360735,0.252956402,0.321770597,0.386206897,0.012470686,0.02231974,-0.217127883,-0.254930534,-0.344495131,0.182497393,-0.02618163,0.123881888,-0.783097497,0.228493261,0.256056896,0.108320797
CNGA1,-0.598913164,-0.089647863,-0.304802735,0.058911453,0.028881938,-0.174557056,-0.331878437,0.242102455,0.13077353,-0.432871111,0.145997949,0.125507009,-0.202348034,-0.223084257,-0.002561368,0.407257436,0.550694017,-0.156243419,-0.156243419,-0.325293675,-0.248452649,0.356030085,0.402134701,0.023052308,0.422625641,0.284311795,-0.280642203,0.200458716,0.294192966,0.024948343,0.067374863,0.275891426,0.267370174,-0.39367803,0.076778633,0.087182353,-0.383332458,-0.346165226,-0.284311795,0.147795417,0.274066325,0.512536048,0.395380518
CNGA2,-0.176252714,0.214728606,0.214728606,-0.567103755,0.69703407,0.477307219,0.052537128,0.019377279,-0.286619949,-0.300069463,0.06331741,-0.055058617,-0.145905335,-0.099214598,-0.134893612,0.443221867,0.19270516,-0.022023447,-0.022023447,-0.206469814,-0.209222745,0.140399473,0.242257915,0.099105511,0.401927904,0.123881888,0.172360735,-0.560172387,-0.322971121,-0.494147702,-0.375862069,-0.315924045,-0.242727169,0.130833468,-0.330083466,0.214964962,-0.049772016,0.039961435,-0.118376027,0.227126142,-0.118376027,0.329413737,-0.033329476
