"","x"
"1","TRPC4"
"2","KCNMA1"
"3","KCNJ13"
"4","KCNK16"
"5","KCNC3"
"6","CNGA1"
"7","TRPM8"
"8","KCNQ3"
"9","TPCN1"
"10","TRPM1"
"11","KCNB1"
"12","KCNG3"
"13","SCN8A"
"14","KCNK2"
"15","HCN4"
"16","KCNH5"
"17","TRPM7"
"18","KCNJ9"
"19","CACNA1D"
"20","KCNC2"
"21","KCNS2"
"22","CACNA1F"
"23","HCN2"
"24","KCNS3"
"25","CACNA1I"
"26","KCNK5"
"27","KCNK9"
"28","TRPV4"
"29","MCOLN1"
"30","CACNA1G"
"31","SCN5A"
"32","KCNQ4"
"33","KCNU1"
"34","SCN10A"
"35","KCND3"
"36","KCNH3"
"37","KCNG1"
"38","KCNJ10"
"39","PKD2L1"
"40","TRPV2"
"41","KCNG2"
"42","SCN11A"
"43","KCNJ2"
"44","CATSPER4"
"45","KCND2"
"46","CACNA1S"
"47","HCN3"
"48","TRPA1"
"49","KCNJ6"
"50","KCNA7"
"51","MCOLN3"
"52","TRPM3"
"53","RYR2"
"54","KCNJ8"
"55","CNGB3"
"56","TRPC1"
"57","RYR3"
"58","KCNJ3"
"59","HVCN1"
"60","KCNV2"
"61","TRPM6"
"62","KCNJ11"
"63","CATSPER2"
"64","SCN3A"
"65","KCNA10"
"66","CACNA1E"
"67","KCNN3"
"68","TRPV1"
"69","KCNJ1"
"70","KCNH4"
"71","KCNQ1"
"72","KCNK15"
"73","CNGA4"
"74","TRPM2"
"75","CNGA3"
"76","KCNK13"
"77","TRPM4"
"78","KCNA3"
"79","TRPV3"
"80","TRPC3"
"81","KCNJ15"
"82","KCNQ5"
"83","KCNJ16"
"84","KCNK7"
"85","KCNF1"
"86","SCN4A"
"87","KCNA4"
"88","PKD2L2"
"89","KCNJ14"
"90","SCN9A"
"91","KCNH8"
"92","KCNA2"
"93","KCNA1"
"94","KCNN1"
"95","KCNQ2"
"96","SCN2A"
"97","CACNA1H"
"98","KCNN2"
"99","KCNH7"
"100","KCNK10"
"101","CNGA2"
"102","KCNK4"
"103","KCNJ4"
"104","TRPC5"
"105","MCOLN2"
"106","TRPC6"
"107","KCNV1"
"108","KCND1"
"109","KCNC1"
"110","SCN1A"
"111","KCNS1"
"112","KCNK1"
"113","KCNH2"
"114","HCN1"
"115","KCNC4"
"116","KCNH6"
"117","PKD2"
"118","KCNK6"
